pair_id,imageA,imageB,dimension
92,sampled_images/103899_108.923_34.233_90_0.png,sampled_images/22898_109.004_34.3976_90_0.png,Greenery
93,sampled_images/105879_108.843_34.1589_90_0.png,sampled_images/34242_108.872_34.2134_90_0.png,Greenery
94,sampled_images/106048_108.867_34.1679_90_0.png,sampled_images/76208_108.86_34.3313_90_0.png,Greenery
95,sampled_images/10012_108.884_34.2386_90_0.png,sampled_images/103576_108.85_34.1878_90_0.png,Greenery
96,sampled_images/41054_109.06_34.292_90_0.png,sampled_images/77716_108.826_34.1252_90_0.png,Greenery
97,sampled_images/76601_109.076_34.2912_90_0.png,sampled_images/85699_109.057_34.3006_90_0.png,Greenery
98,sampled_images/22906_108.812_34.1648_90_0.png,sampled_images/34598_108.972_34.2685_90_0.png,Greenery
99,sampled_images/57297_108.953_34.2133_90_0.png,sampled_images/74783_109.045_34.2309_90_0.png,Greenery
100,sampled_images/45951_108.896_34.2525_90_0.png,sampled_images/50302_108.918_34.3101_90_0.png,Greenery
101,sampled_images/103815_108.928_34.2526_90_0.png,sampled_images/23112_108.989_34.2487_90_0.png,Greenery
102,sampled_images/103272_108.93_34.1891_90_0.png,sampled_images/106384_108.944_34.3569_90_0.png,Greenery
103,sampled_images/103899_108.923_34.233_90_0.png,sampled_images/13942_109.011_34.3603_90_0.png,Greenery
104,sampled_images/103945_108.904_34.2395_90_0.png,sampled_images/28052_108.898_34.1729_90_0.png,Greenery
105,sampled_images/21830_108.984_34.2523_90_0.png,sampled_images/86626_108.959_34.2428_90_0.png,Greenery
106,sampled_images/106384_108.944_34.3569_90_0.png,sampled_images/51089_109.042_34.2522_90_0.png,Greenery
107,sampled_images/262_108.939_34.2608_0_0.png,sampled_images/40484_109.027_34.176_90_0.png,Greenery
108,sampled_images/109779_108.814_34.179_90_0.png,sampled_images/57172_108.908_34.1721_90_0.png,Greenery
109,sampled_images/104425_108.925_34.3735_90_0.png,sampled_images/106074_108.934_34.1778_90_0.png,Greenery
110,sampled_images/107290_109.065_34.287_90_0.png,sampled_images/24256_108.836_34.1486_90_0.png,Greenery
111,sampled_images/21542_108.977_34.3675_90_0.png,sampled_images/23993_108.868_34.1294_90_0.png,Greenery
112,sampled_images/34242_108.872_34.2134_90_0.png,sampled_images/4198_109.017_34.2308_90_0.png,Greenery
113,sampled_images/10012_108.884_34.2386_90_0.png,sampled_images/261_108.938_34.2608_270_0.png,Greenery
114,sampled_images/28676_108.954_34.3193_90_0.png,sampled_images/39725_109.054_34.3565_90_0.png,Greenery
115,sampled_images/109705_108.845_34.3292_90_0.png,sampled_images/62839_109.045_34.3281_90_0.png,Greenery
116,sampled_images/103723_108.935_34.2524_90_0.png,sampled_images/104456_108.925_34.3505_90_0.png,Greenery
117,sampled_images/26479_109.023_34.3423_90_0.png,sampled_images/41054_109.06_34.292_90_0.png,Greenery
118,sampled_images/61272_108.956_34.1636_90_0.png,sampled_images/7513_108.916_34.1586_90_0.png,Greenery
119,sampled_images/105603_108.918_34.2353_90_0.png,sampled_images/5376_108.913_34.2203_90_0.png,Greenery
120,sampled_images/102528_108.836_34.2431_90_0.png,sampled_images/109779_108.814_34.179_90_0.png,Greenery
121,sampled_images/25359_109.045_34.3266_90_0.png,sampled_images/26199_109.001_34.1961_90_0.png,Greenery
122,sampled_images/10051_108.886_34.2673_90_0.png,sampled_images/62748_108.895_34.1901_90_0.png,Greenery
123,sampled_images/105684_108.922_34.2329_90_0.png,sampled_images/39230_108.886_34.2581_90_0.png,Greenery
124,sampled_images/23596_109.025_34.2526_90_0.png,sampled_images/26628_108.956_34.3313_90_0.png,Greenery
125,sampled_images/11670_108.878_34.1875_90_0.png,sampled_images/29440_108.837_34.28_90_0.png,Greenery
126,sampled_images/108663_108.888_34.2486_90_0.png,sampled_images/22651_108.915_34.1854_90_0.png,Greenery
127,sampled_images/16270_108.99_34.4055_90_0.png,sampled_images/53884_108.948_34.2313_90_0.png,Greenery
128,sampled_images/104668_108.959_34.2267_90_0.png,sampled_images/23112_108.989_34.2487_90_0.png,Greenery
129,sampled_images/12959_108.862_34.1816_90_0.png,sampled_images/86224_108.978_34.3452_90_0.png,Greenery
